ADDRESS,POSTAL,POWER OUT TIME,POWER RESTORE TIME,POWER DURATION
3753 NW 56TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
5922 NW 26TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3635 NW 68TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
6512 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6518 NW 29TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3655 NW 64TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
3615 NW 61ST PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6655 NW 36TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3716 NW 55TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
5730 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
5902 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6110 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3846 NW 62ND PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3416 NW 60TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
2911 NW 57TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6725 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6111 NW 35TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3628 NW 67TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3912 NW 62ND AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3111 NW 68TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6545 NW 36TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5611 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
5426 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6426 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
3922 NW 58TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
5929 NW 37TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3733 NW 58TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6111 NW 38TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3419 NW 67TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
"6020 NW 43RD ST, IC 12/13",32653,9/11/17 1:06,9/11/17 13:22,12:15
3101 NW 68TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
